id,cost,profit_pct
Share-BQZO,25920,0.0002
Share-MCUJ,12510,0.0365
Share-TTXF,20120,0.3700
Share-CZZS,27260,0.3120
Share-BGRQ,25390,0.1163
Share-SVAM,18370,0.1891
Share-IYAT,14950,0.1952
Share-NNSM,12030,0.3213
Share-VLWV,3700,0.0385
Share-XSSB,22120,0.3825
Share-CIIX,1410,0.1822
Share-SJAK,33200,0.1293
Share-CEBR,45890,0.0004
Share-CLIJ,33150,0.2323
Share-XRVK,47490,0.0285
Share-OOUK,36530,0.1205
Share-ZBMZ,31300,0.3414
Share-KVDA,25110,0.1391
Share-PARA,14330,0.0154
Share-TNBA,23580,0.3562
Share-CSQA,2710,0.0850
Share-HKEJ,15190,0.1662
Share-AOLT,48530,0.3644
Share-YRVP,21910,0.1098
Share-IPGW,17240,0.1529
Share-IYEW,38320,0.3679
Share-WZHT,36020,0.2481
Share-FAHD,47390,0.0452
Share-EFHD,25310,0.1981
Share-IQHP,41000,0.3206
Share-XOQL,18720,0.1503
Share-CZAX,38050,0.3064
Share-UVZJ,0,0.2626
Share-RUFN,10880,0.3703
Share-ZIGX,41520,0.1339
Share-KMOP,25250,0.3324
Share-VTYP,13680,0.3122
Share-WENI,27110,0.3487
Share-YEYF,49100,0.2488
Share-EKHU,47130,0.3503
Share-JPLU,10720,0.2916
Share-CVKQ,27890,0.0606
Share-TFNF,38630,0.3334
Share-LRYZ,32770,0.3816
Share-SUDI,38720,0.2501
Share-GFBR,22190,0.2105
Share-ELHS,36470,0.0105
Share-BOET,0,0.3701
Share-PFOA,8540,0.1908
Share-HRKX,14090,0.3342
Share-DEMQ,19250,0.3529
Share-MONJ,10670,0.0747
Share-XQOA,18650,0.0268
Share-RZCS,36450,0.1278
Share-DAPQ,21360,0.1957
Share-OUGA,8990,0.0735
Share-BCVC,20690,0.3351
Share-BHXC,41140,0.1950
Share-NTBS,24420,0.1033
Share-WVBR,25110,0.0290
Share-GCEX,0,0.3472
Share-RBJP,12540,0.1182
Share-QNMW,10160,0.0474
Share-FLLX,2350,0.2647
Share-MHMX,19480,0.0524
Share-DAWU,7400,0.0735
Share-ETOR,12330,0.2852
Share-GVVO,2220,0.1072
Share-SPAR,42660,0.1969
Share-DWQL,0,0.3988
Share-IFCP,29230,0.1521
Share-WYAL,42120,0.1378
Share-OFZD,31480,0.1804
Share-KLCJ,13750,0.1758
Share-JNUW,30610,0.2762
Share-SHFZ,32790,0.2420
Share-CYLT,33730,0.3712
Share-JHLP,42970,0.3388
Share-DLGZ,34710,0.0593
Share-COUC,20990,0.2447
Share-ATAE,16580,0.1679
Share-FTJN,27520,0.2523
Share-WTPW,19890,0.3349
Share-HITN,670,0.0472
Share-ADLV,18900,0.3561
Share-CWIL,46200,0.1006
Share-VBQT,25730,0.0642
Share-XQQA,26780,0.1182
Share-QSOQ,30150,0.3220
Share-WIWE,10650,0.3388
Share-FRBU,30130,0.0326
Share-IYKD,1080,0.3251
Share-EPCT,3910,0.0805
Share-JIZL,48750,0.0000
Share-ACQS,32620,0.1821
Share-YUTW,16280,0.0940
Share-YHEL,2510,0.3722
Share-HPSH,19770,0.1625
Share-NVXL,25660,0.1697
Share-ZFQR,21740,0.0975
Share-GYNX,30960,0.3812
Share-XXLC,45120,0.2473
Share-TLJJ,28650,0.1919
Share-RUPP,40980,0.0527
Share-SXZH,39350,0.1597
Share-DSHU,23120,0.1395
Share-OLUI,30680,0.3272
Share-FXZS,0,0.0125
Share-SFMP,9480,0.2228
Share-VVDF,5120,0.3616
Share-YVUQ,39980,0.0974
Share-FIWE,42560,0.1732
Share-NKEK,19010,0.0430
Share-QEDS,3780,0.2551
Share-SWES,35400,0.3902
Share-XMLZ,29500,0.3202
Share-DRXI,37420,0.0784
Share-BKOT,22900,0.0807
Share-QDFN,4260,0.3409
Share-NLNW,8950,0.1138
Share-MKTB,33420,0.3053
Share-FEMI,15240,0.0431
Share-ZQDO,34640,0.3607
Share-CVOW,0,0.4191
Share-GBMB,17840,0.0940
Share-ZUWA,20140,0.3722
Share-VUOS,27780,0.1625
Share-RTTA,22580,0.1697
Share-SQQK,28160,0.0975
Share-GROK,46300,0.3812
Share-RWWJ,41820,0.2473
Share-YPRZ,22430,0.1919
Share-EDPH,39860,0.0527
Share-LJDU,18580,0.1597
Share-JKRC,26910,0.1395
Share-QCRM,41390,0.3272
Share-PKXQ,37070,0.0125
Share-DBMG,29280,0.2228
Share-DFKO,22470,0.3616
Share-LOJD,39610,0.0974
Share-SFMQ,22410,0.1732
Share-TMYW,42880,0.0430
Share-WPYY,22920,0.2551
Share-EDBI,16280,0.3902
Share-WJZQ,25720,0.3202
Share-MGCH,24370,0.0784
Share-GFKM,19740,0.0807
Share-JLNT,40690,0.3409
Share-ZIZN,33300,0.1138
Share-FVVN,35430,0.3053
Share-TTVT,8890,0.0431
Share-EMOV,21500,0.3607
Share-ZWPI,14660,0.4191
Share-KKAD,30860,0.0940
Share-GMPX,18300,0.3722
Share-JHKR,35590,0.1625
Share-QIGP,34340,0.1697
Share-RUMG,9540,0.0975
Share-EPWT,28320,0.3812
Share-FJIK,48780,0.2473
Share-ETNQ,36690,0.1919
Share-OZCM,18430,0.0527
Share-KZLV,39410,0.1597
Share-ZLGB,22300,0.1395
Share-ZSPZ,20120,0.3272
Share-RQNB,43840,0.0125
Share-UNOG,33020,0.2228
Share-GZHU,9520,0.3616
Share-QPFG,27350,0.0974
Share-IVRI,28450,0.1732
Share-GHNY,0,0.0430
Share-XABA,37140,0.2551
Share-MEPT,16840,0.3902
Share-OTBX,30140,0.3202
Share-ODFR,32060,0.0784
Share-QPRB,31420,0.0807
Share-QAIJ,24150,0.3409
Share-OKTW,37050,0.1138
Share-KYHO,14170,0.3053
Share-ONTS,47280,0.0431
Share-JWXV,28500,0.3607
Share-TJBP,6110,0.4191
Share-YHLS,20380,0.0940
Share-ZNIY,35010,0.3722
Share-XPZF,12750,0.1625
Share-ODXT,6930,0.1697
Share-VQHA,26580,0.0975
Share-IDWW,9390,0.3812
Share-TVOJ,0,0.2473
Share-NMYP,1170,0.1919
Share-VNQN,25280,0.0527
Share-FVTC,45640,0.1597
Share-RSQE,15360,0.1395
Share-TCMQ,7590,0.3272
Share-UPTV,17510,0.0125
Share-LSFE,30690,0.2228
Share-TTLC,29000,0.3616
Share-WMOU,34680,0.0974
Share-QJZG,25800,0.1732
Share-PSZU,48580,0.0430
Share-GCAZ,28990,0.2551
Share-KZBL,33380,0.3902
Share-ZTDP,34110,0.3202
Share-XBIG,23990,0.0784
Share-MXMO,30800,0.0807
Share-OMOF,38030,0.3409
Share-NWSG,46790,0.1138
Share-LGSU,16630,0.3053
Share-GLFC,7220,0.0431
Share-PAXZ,600,0.3607
Share-QSPX,20760,0.4191
Share-ZGFE,17130,0.0940
Share-WCNO,25290,0.3722
Share-BHYK,17830,0.1625
Share-VGFO,32330,0.1697
Share-FUUQ,9470,0.0975
Share-VEEM,3940,0.3812
Share-YVIJ,29270,0.2473
Share-ZEPQ,20130,0.1919
Share-EINI,32900,0.0527
Share-LRBZ,12510,0.1597
Share-NYHH,37330,0.1395
Share-CBNP,0,0.3272
Share-JXTU,15060,0.0125
Share-ZOIW,48990,0.2228
Share-GSPE,31520,0.3616
Share-IZCN,31330,0.0974
Share-XLQI,48510,0.1732
Share-BDMW,20580,0.0430
Share-HCCK,15170,0.2551
Share-DWFW,30930,0.3902
Share-TDXX,44620,0.3202
Share-ZXSD,6970,0.0784
Share-MKZB,14780,0.0807
Share-XRZR,31130,0.3409
Share-XPEO,23680,0.1138
Share-QDBT,28840,0.3053
Share-CPNV,11960,0.0431
Share-QFPK,27890,0.3607
Share-CXDL,37780,0.4191
Share-MMFR,14100,0.0940
Share-MYPQ,17590,0.3722
Share-EZLR,47580,0.1625
Share-QJZD,25790,0.1697
Share-YDJK,31700,0.0975
Share-ZSRN,30720,0.3812
Share-IMGN,5030,0.2473
Share-HPQO,15060,0.1919
Share-KYUG,9650,0.0527
Share-YZOF,39440,0.1597
Share-KPMF,0,0.1395
Share-RBTN,36810,0.3272
Share-CBTR,27080,0.0125
Share-JGEU,34390,0.2228
Share-SIRR,30900,0.3616
Share-TECI,38330,0.0974
Share-NFGO,9390,0.1732
Share-XJMO,35660,0.0430
Share-IFPU,16750,0.2551
Share-SNKS,19280,0.3902
Share-GKRC,34590,0.3202
Share-XZNX,26540,0.0784
Share-XRNJ,25250,0.0807
Share-OGGC,45800,0.3409
Share-TNHW,18310,0.1138
Share-YMIE,8280,0.3053
Share-LKBB,33120,0.0431
Share-IQED,15170,0.3607
Share-LFLL,31680,0.4191
Share-OJRZ,3370,0.0940
Share-IKCF,19470,0.3722
Share-RNBA,34750,0.1625
Share-YZFJ,23950,0.1697
Share-RGDB,33410,0.0975
Share-UEIV,20900,0.3812
Share-VQPV,40430,0.2473
Share-OHHU,36820,0.1919
Share-AXIX,35090,0.0527
Share-KOUD,48960,0.1597
Share-NALT,30690,0.1395
Share-NHKZ,34400,0.3272
Share-NKUT,47400,0.0125
Share-GPGM,25770,0.2228
Share-NFNZ,1990,0.3616
Share-NVDR,13370,0.0974
Share-NQIL,5980,0.1732
Share-VTWL,25730,0.0430
Share-JEQJ,19700,0.2551
Share-IXSO,26200,0.3902
Share-HGVJ,25690,0.3202
Share-AIQL,29070,0.0784
Share-KYXI,26310,0.0807
Share-SIVL,25090,0.3409
Share-GJMI,38970,0.1138
Share-OLCV,14870,0.3053
Share-SLZZ,30610,0.0431
Share-RDQM,21170,0.3607
Share-UOZD,31290,0.4191
Share-MOXN,47010,0.0940
Share-XKAM,31580,0.3722
Share-GGLB,24680,0.1625
Share-GEYL,20930,0.1697
Share-CIYW,27730,0.0975
Share-EIZH,30960,0.3812
Share-MPUS,15090,0.2473
Share-YUVN,15720,0.1919
Share-PEAZ,11970,0.0527
Share-MWDM,34900,0.1597
Share-LSZT,1220,0.1395
Share-CBNY,15620,0.3272
Share-HMVR,21640,0.0125
Share-LGHI,24710,0.2228
Share-VCWF,8270,0.3616
Share-CGUS,26840,0.0974
Share-REMR,15260,0.1732
Share-MXBC,16640,0.0430
Share-ZDHV,11650,0.2551
Share-AVUV,35990,0.3902
Share-WVTR,36230,0.3202
Share-MLVQ,25400,0.0784
Share-NCFR,25040,0.0807
Share-LFGX,25280,0.3409
Share-HQDA,5970,0.1138
Share-UMGT,38650,0.3053
Share-WITL,34060,0.0431
Share-XOBN,20990,0.3607
Share-AHYU,43010,0.4191
Share-YLHV,17550,0.0940
Share-BTKZ,32670,0.3722
Share-YEYV,18270,0.1625
Share-BGVK,30000,0.1697
Share-OFWH,42850,0.0975
Share-XKFR,44480,0.3812
Share-SNUW,45370,0.2473
Share-QWHX,25620,0.1919
Share-TZIJ,23800,0.0527
Share-ILTN,29330,0.1597
Share-TIRJ,34990,0.1395
Share-URMZ,33030,0.3272
Share-FZFY,20360,0.0125
Share-UTIJ,26950,0.2228
Share-PFEQ,32120,0.3616
Share-LNBX,34600,0.0974
Share-BORU,12930,0.1732
Share-QOYO,37140,0.0430
Share-BAPF,21220,0.2551
Share-RJIB,26650,0.3902
Share-ICKP,40440,0.3202
Share-DPMV,0,0.0784
Share-EWGU,20910,0.0807
Share-MIOT,44290,0.3409
Share-GSDZ,38410,0.1138
Share-GOEX,10470,0.3053
Share-IHOT,10750,0.0431
Share-GIAJ,29230,0.3607
Share-OTFE,39530,0.4191
Share-HMCY,21510,0.0940
Share-UMCH,29900,0.3722
Share-QQBR,38960,0.1625
Share-WJZJ,0,0.1697
Share-CESY,41900,0.0975
Share-OGLE,36640,0.3812
Share-MNMP,230,0.2473
Share-KGQI,26210,0.1919
Share-JGPU,31980,0.0527
Share-LBSY,6370,0.1597
Share-EMCQ,13560,0.1395
Share-GHFD,13500,0.3272
Share-ESFE,25250,0.0125
Share-EJLA,38710,0.2228
Share-JJNV,32320,0.3616
Share-DIGK,15380,0.0974
Share-NYKV,40890,0.1732
Share-DDWA,9770,0.0430
Share-SLGB,47390,0.2551
Share-HYNU,9730,0.3902
Share-KZFS,39050,0.3202
Share-THCY,6130,0.0784
Share-SIZB,19320,0.0807
Share-TUQB,30850,0.3409
Share-NTQC,26400,0.1138
Share-HYMY,0,0.3053
Share-VXCW,24650,0.0431
Share-JYBM,34980,0.3607
Share-VGRH,0,0.4191
Share-PSVO,33830,0.0940
Share-NBSA,24830,0.3722
Share-OFJC,1710,0.1625
Share-JWVH,34630,0.1697
Share-PEQK,21710,0.0975
Share-WAQC,31250,0.3812
Share-ZEIM,13750,0.2473
Share-RPXU,35960,0.1919
Share-DTZY,34450,0.0527
Share-LHKD,47000,0.1597
Share-YRSC,23200,0.1395
Share-MZLJ,32660,0.3272
Share-YECK,36550,0.0125
Share-SZEE,41490,0.2228
Share-MTJQ,5460,0.3616
Share-PBXL,27230,0.0974
Share-BMTW,5720,0.1732
Share-YPHD,8970,0.0430
Share-TXHQ,42960,0.2551
Share-KAUS,43430,0.3902
Share-BFRJ,8190,0.3202
Share-NDNV,11860,0.0784
Share-GNLH,39870,0.0807
Share-WMQI,0,0.3409
Share-ARZU,41400,0.1138
Share-MDAT,40000,0.3053
Share-QBZY,35090,0.0431
Share-YHNK,37130,0.3607
Share-DGFR,14480,0.4191
Share-FVCW,9930,0.0940
Share-JREW,22650,0.3722
Share-NOLN,38680,0.1625
Share-DSKL,42980,0.1697
Share-LHLG,17540,0.0975
Share-HJJZ,32800,0.3812
Share-URDO,28320,0.2473
Share-URKJ,21660,0.1919
Share-JSDR,32230,0.0527
Share-KMDP,44930,0.1597
Share-TGMY,2090,0.1395
Share-RCCP,5860,0.3272
Share-GQZA,18750,0.0125
Share-EQFF,33190,0.2228
Share-QQTU,32000,0.3616
Share-LWHP,26360,0.0974
Share-SRHN,7970,0.1732
Share-SORI,4410,0.0430
Share-TQVQ,30410,0.2551
Share-UIWH,17090,0.3902
Share-PJBF,46570,0.3202
Share-VOPM,14480,0.0784
Share-MSWM,22770,0.0807
Share-TPPD,45820,0.3409
Share-GDNC,33830,0.1138
Share-OELG,2730,0.3053
Share-HBXW,38080,0.0431
Share-UYOE,24080,0.3607
Share-VMPZ,36800,0.4191
Share-GMUB,6060,0.0940
Share-LCVT,15220,0.3722
Share-KRMG,3680,0.1625
Share-FYUX,24720,0.1697
Share-DSJF,47050,0.0975
Share-MCJZ,280,0.3812
Share-STKT,27280,0.2473
Share-FSTB,21630,0.1919
Share-KQHE,0,0.0527
Share-MXKO,21920,0.1597
Share-JEHF,24870,0.1395
Share-SKKC,46370,0.3272
Share-RPNK,12120,0.0125
Share-LZLU,27210,0.2228
Share-ICYR,32380,0.3616
Share-VOEF,39900,0.0974
Share-LSBJ,34880,0.1732
Share-HQIF,26920,0.0430
Share-TWXB,27010,0.2551
Share-HQHB,26630,0.3902
Share-PYSY,36360,0.3202
Share-JAGI,46250,0.0784
Share-EYGW,10690,0.0807
Share-OFCJ,38880,0.3409
Share-WGNW,-2730,0.1138
Share-JNGS,0,0.3053
Share-IETC,26550,0.0431
Share-BPBC,5340,0.3607
Share-HIGA,31060,0.4191
Share-JEAI,9030,0.0940
Share-FNVN,39100,0.3722
Share-AQZD,39290,0.1625
Share-WBLU,8610,0.1697
Share-HJFD,29010,0.0975
Share-QSSK,6750,0.3812
Share-WQLH,9610,0.2473
Share-ALZI,23780,0.1919
Share-CNVT,30730,0.0527
Share-NJKY,29250,0.1597
Share-QIID,0,0.1395
Share-CDSP,25860,0.3272
Share-BOZY,34810,0.0125
Share-OTLF,43200,0.2228
Share-TEET,0,0.3616
Share-GWMA,25900,0.0974
Share-HHFE,48280,0.1732
Share-HERB,21590,0.0430
Share-KKQW,800,0.2551
Share-FKJR,41040,0.3902
Share-LOKP,44940,0.3202
Share-TZKX,21050,0.0784
Share-DYJJ,27640,0.0807
Share-DRRI,34050,0.3409
Share-CFUF,23380,0.1138
Share-MUFT,6960,0.3053
Share-ZNKU,25740,0.0431
Share-TOHR,15110,0.3607
Share-ZSDE,36780,0.4191
Share-AAZC,22620,0.0940
Share-DSME,39650,0.3722
Share-PWHJ,19870,0.1625
Share-LUSV,26620,0.1697
Share-YXVL,39130,0.0975
Share-XLQD,20580,0.3812
Share-WIBX,0,0.2473
Share-DXLL,39150,0.1919
Share-YYBB,30700,0.0527
Share-COVF,13000,0.1597
Share-GRSA,0,0.1395
Share-CKIZ,6700,0.3272
Share-BXEV,14890,0.0125
Share-LSTK,39920,0.2228
Share-GLOV,21790,0.3616
Share-LYIZ,6350,0.0974
Share-HQWX,17180,0.1732
Share-KXYC,13320,0.0430
Share-ANXT,36300,0.2551
Share-OAOX,31410,0.3902
Share-LGWG,4090,0.3202
Share-VPPA,0,0.0784
Share-USDU,20640,0.0807
Share-FJZC,13030,0.3409
Share-HCNK,29810,0.1138
Share-WFZZ,20970,0.3053
Share-DAQE,41060,0.0431
Share-FYKQ,26110,0.3607
Share-IPUP,28390,0.4191
Share-XGXY,41570,0.0940
Share-LVQC,15370,0.3722
Share-PXVO,31920,0.1625
Share-OVCD,34640,0.1697
Share-WPLI,40870,0.0975
Share-LJEO,20490,0.3812
Share-PISF,28590,0.2473
Share-ZQNA,25210,0.1919
Share-EMNG,10560,0.0527
Share-BJIF,4450,0.1597
Share-QGUP,12250,0.1395
Share-XUCG,25110,0.3272
Share-RPNX,38890,0.0125
Share-KCEB,26190,0.2228
Share-KFOQ,33930,0.3616
Share-FVNN,12070,0.0974
Share-XZOD,22150,0.1732
Share-GGKK,10820,0.0430
Share-JPQM,33730,0.2551
Share-WYJO,30570,0.3902
Share-IAFR,29500,0.3202
Share-MCBN,23770,0.0784
Share-UFQB,24320,0.0807
Share-ZHNO,13500,0.3409
Share-MGXU,10370,0.1138
Share-TUFN,37440,0.3053
Share-NVVV,21320,0.0431
Share-EPTB,0,0.3607
Share-WSEH,17620,0.4191
Share-ARYE,17210,0.0940
Share-CGJM,26580,0.3722
Share-ZJWM,35020,0.1625
Share-XAZS,37920,0.1697
Share-CPWU,16520,0.0975
Share-UIMY,35190,0.3812
Share-UKXZ,24460,0.2473
Share-YMFX,45740,0.1919
Share-MLNK,9700,0.0527
Share-HJKI,17510,0.1597
Share-PEVC,3480,0.1395
Share-HDZP,16500,0.3272
Share-GUTR,24880,0.0125
Share-HPYJ,0,0.2228
Share-EXKV,15270,0.3616
Share-TVCG,8240,0.0974
Share-DRZA,18820,0.1732
Share-CYLI,36540,0.0430
Share-LZSG,19580,0.2551
Share-FTYA,17380,0.3902
Share-QLMK,31190,0.3202
Share-OLCM,42550,0.0784
Share-WPCD,42760,0.0807
Share-OSGU,24120,0.3409
Share-BQLT,3690,0.1138
Share-RKNE,36950,0.3053
Share-VRIE,40080,0.0431
Share-HBGI,22880,0.3607
Share-VNFB,8680,0.4191
Share-QSQG,30010,0.0940
Share-CRZH,21730,0.3722
Share-CXGC,23090,0.1625
Share-ECAB,10900,0.1697
Share-PUDT,24350,0.0975
Share-KMEM,22200,0.3812
Share-TCIP,31650,0.2473
Share-CVPG,30330,0.1919
Share-XDUU,33850,0.0527
Share-VYWQ,26860,0.1597
Share-GLAO,21120,0.1395
Share-MAJJ,21630,0.3272
Share-NVBN,34620,0.0125
Share-XXBE,29150,0.2228
Share-QTKW,29930,0.3616
Share-YAFK,31330,0.0974
Share-MVRZ,10,0.1732
Share-MLGM,36180,0.0430
Share-GUQG,3820,0.2551
Share-QQGZ,34120,0.3902
Share-VPMV,15220,0.3202
Share-PNTD,24110,0.0784
Share-MYPY,4120,0.0807
Share-QMVF,30730,0.3409
Share-UFXW,19010,0.1138
Share-MOVT,30200,0.3053
Share-RGMB,28180,0.0431
Share-YGKX,10560,0.3607
Share-QOGS,17450,0.4191
Share-EMDG,0,0.0940
Share-SKUO,0,0.3722
Share-NCIK,28290,0.1625
Share-OTAO,13620,0.1697
Share-CIWC,36380,0.0975
Share-DQRQ,28120,0.3812
Share-XPMV,12620,0.2473
Share-OBKH,22610,0.1919
Share-MLDY,24770,0.0527
Share-JCPU,0,0.1597
Share-OPSM,44040,0.1395
Share-JHTJ,0,0.3272
Share-UBRS,11400,0.0125
Share-XHQJ,17400,0.2228
Share-QDWQ,15680,0.3616
Share-OXSN,24730,0.0974
Share-VNXO,29320,0.1732
Share-EFWR,13050,0.0430
Share-GZUU,17140,0.2551
Share-LPGN,48310,0.3902
Share-VHYI,11870,0.3202
Share-FXBP,18660,0.0784
Share-PLPK,27560,0.0807
Share-OEDD,25200,0.3409
Share-BMIQ,26500,0.1138
Share-QINE,29610,0.3053
Share-ITTV,20530,0.0431
Share-QHTF,5320,0.3607
Share-VBED,37590,0.4191
Share-LTEB,29010,0.0940
Share-OBVY,14790,0.3722
Share-SHCI,47690,0.1625
Share-VUSQ,23310,0.1697
Share-BENA,27960,0.0975
Share-BEQY,38860,0.3812
Share-NQQC,5140,0.2473
Share-RNXT,15670,0.1919
Share-RIBY,23430,0.0527
Share-HBPQ,25610,0.1597
Share-BDME,19720,0.1395
Share-FPVA,24330,0.3272
Share-WVNM,17850,0.0125
Share-MTFR,21050,0.2228
Share-JGBU,45040,0.3616
Share-IXFI,19740,0.0974
Share-TMBL,29580,0.1732
Share-PTYE,37820,0.0430
Share-RDHG,29000,0.2551
Share-TDWK,4440,0.3902
Share-EVUW,46960,0.3202
Share-HTJD,41580,0.0784
Share-HHIZ,26120,0.0807
Share-XBDW,22240,0.3409
Share-PCHT,12300,0.1138
Share-MOVE,3400,0.3053
Share-HLYD,35750,0.0431
Share-HIAN,26120,0.3607
Share-YIOX,498760,0.00394
Share-GRUT,26100,0.2108
Share-UNHO,16350,0.3716
Share-FKJW,21530,0.2818
Share-WQMQ,20190,0.2242
Share-TFVA,38290,0.3367
Share-ARAY,26140,0.1697
Share-AHQO,21770,0.2626
Share-SNVL,27850,0.1113
Share-VUTC,31440,0.3720
Share-LAHI,29640,0.4768
Share-YOET,2930,0.2780
Share-LQHP,6080,0.1370
Share-YPGY,35810,0.2702
Share-NHRO,23920,0.1502
Share-GERI,15400,0.3450
Share-OQCA,2650,0.1906
Share-XRRF,10250,0.3381
Share-CVFX,30540,0.2912
Share-GXSF,36600,0.3038
Share-QUWM,4780,0.2213
Share-VONS,28240,0.2717
Share-UEZE,6040,0.5260
Share-KFOG,28550,0.1724
Share-UXBG,17100,0.1807
Share-LNMC,15870,0.4363
Share-WUWO,44610,0.1947
Share-WBWX,23480,0.1602
Share-SMUS,35360,0.3736
Share-NNDP,11230,0.0000
Share-GTQK,36610,0.1719
Share-KEUJ,37090,0.5030
Share-CVLS,20310,0.4089
Share-TGAD,24230,0.1343
Share-XZWG,8370,0.2378
Share-VLOZ,6100,0.6530
Share-JPRI,18850,0.2926
Share-AFAJ,21560,0.0000
Share-TRSF,12150,0.2562
Share-CBLS,5730,0.1639
Share-ZVEO,21920,0.1649
Share-BYJX,4770,0.2545
Share-RAOW,48550,0.4385
Share-AZDM,33550,0.3918
Share-IBVH,0,0.5430
Share-JKZM,34930,0.3358
Share-QKDN,39350,0.4640
Share-QRBH,35080,0.1170
Share-HQVQ,15040,0.0000
Share-CFML,16810,0.2375
Share-AGPL,29250,0.4150
Share-ZORL,29570,0.2442
Share-DDRH,0,0.1641
Share-NUZX,7150,0.8450
Share-AMYS,350,0.2649
Share-KQDZ,5610,0.3030
Share-LQXO,29440,0.2664
Share-TNCT,31350,0.3805
Share-KFMR,9870,0.2730
Share-HZKM,23910,0.3570
Share-NZMA,20240,0.1613
Share-MJEL,32780,0.9320
Share-RBXY,24870,0.3815
Share-OZBN,33940,0.1849
Share-VQOW,15930,0.3650
Share-SCKQ,2620,0.2022
Share-WYIT,10730,0.1108
Share-QUQS,20220,0.1467
Share-QKFA,42480,0.2809
Share-EAIO,30850,0.2763
Share-FHZN,33900,0.2584
Share-QVQY,21780,0.1754
Share-BZBC,33550,0.4893
Share-SULM,20360,0.3363
Share-LYRY,20470,0.2570
Share-VNMM,39470,0.3269
Share-YRRO,30020,0.1930
Share-USSR,13760,0.6010
Share-AXIX,0,0.5320
Share-OBYV,20670,0.3663
Share-DAVZ,24550,0.1993
Share-MTLR,21240,0.2725
Share-BXTP,0,0.2378
Share-AQOR,4820,0.2918
Share-MKUX,420,0.1323
Share-SBMG,15510,0.1787
Share-XOFE,24990,0.4493
Share-KTYA,38320,0.2073
Share-LKLG,30360,0.2238
Share-AZTU,19120,0.4183
Share-DUET,36490,0.2844
Share-AQKA,31400,0.2573
Share-LPDM,18580,0.1696
Share-GUCL,16360,0.3091
Share-EBOY,29480,0.2325
Share-ZPTK,44050,0.2278
Share-ZRZK,7190,0.4052
Share-ZRIV,39720,0.4613
Share-MVVG,28000,0.4685
Share-ROHB,30540,0.2404
Share-GNJC,20500,0.1500
Share-YVCE,29030,0.2016
Share-FMLL,21170,0.5070
Share-NUAX,26510,0.0000
Share-PJTN,19110,0.2460
Share-FQJZ,45420,0.2186
Share-HYQP,40400,0.2967
Share-NLPL,35910,0.2953
Share-IQMC,0,0.2321
Share-SJIV,26440,0.4530
Share-OODL,20040,0.4236
Share-UBYY,37650,0.2547
Share-LPSQ,22270,0.2123
Share-RSRH,11950,0.2081
Share-WPTD,29730,0.1365
Share-QGXD,23110,0.3466
Share-BVQQ,26570,0.2836
Share-PNBE,28360,0.070
Share-NYRP,46520,0.1778
Share-GSGQ,43320,0.4936
Share-QFOM,39300,0.0000
Share-DWPD,15790,0.2690
Share-IBSP,8010,0.1548
Share-EJXB,36560,0.3794
Share-UEZB,24520,0.2734
Share-QXLZ,16580,0.1698
Share-NWDK,42830,0.7480
Share-XPQB,31420,0.3315
Share-RNEE,2660,0.3909
Share-BMWW,30570,0.0000
Share-DLDY,9810,0.2138
Share-EKHC,28480,0.2373
Share-PSEN,8470,0.2282
Share-BXWL,38680,0.4298
